BOT,favourites,followers,following,moments,name,tweets,verified
1,0,437,1,0,AskAndAnswerBot,53193,0
1,0,189,0,0,TheftFromMaster,5427,0
1,0,468,4,0,ilikelikeilike,13466,0
1,0,1065,1,0,4myrealfriends,18959,0
1,0,979,1,0,MiraculousPics,10443,0
1,0,8394,1,0,TwoHeadlines,35519,0
1,0,31224,69,0,thinkpiecebot,26228,0
1,0,5178,1,0,NerdGarbageBot,19864,0
1,0,2359,1,0,sloganotron,6006,0
1,0,2844,1,0,bottest_takes,15615,0
1,0,1952,1,0,idiom_o_matic,5567,0
1,0,308,10,0,BOT20130429,44348,0
1,0,57981,1,0,Favstar_Bot,8214277,0
1,0,318,1,0,xyisx_bot,168298,0
1,0,293,1,0,silly_phrases,146288,0
1,0,455,4,0,PERMUTANT,173989,0
1,0,700,1,0,dungeon_bot,28318,0
1,0,985,5,0,PROGRAMR_BAT,32285,0
1,0,109,4,0,rustminus,24858,0
1,0,113,1,0,ciphersext,21512,0
1,0,141,5,0,cutup_bot,21493,0
1,0,92,1,0,mfw_sh,8491,0
1,0,48,1,0,rireljbeq,59039,0
1,0,68784,33,0,everyword,109160,0
1,0,73,3,0,everywikt,44042,0
1,0,90,1,0,md5everyword,45542,0
1,0,74,1,0,Horse_estakes,1032,0
1,0,105,2,0,EveryNato,38521,0
1,0,111,21,0,botmaze,26156,0
1,0,40,17,0,brownbearbot,3438,0
1,0,86,1,0,justdidathing,24314,0
1,0,146,1,0,thematchbot,33899,0
1,0,408,2,0,theseraps,13918,0
1,0,279,2,0,autocompleterap,9530,0
1,0,148,47,0,cookerybot,4368,0
1,0,111,47,0,MyTruLuvSent2Me,801,0
1,0,110,51,0,NYChickens,940,0
1,0,113,47,0,mydogsgotno,4195,0
1,0,105,47,0,jifbot,3814,0
1,0,121,47,0,SinebrychoffBot,5043,0
1,0,110,26,0,itsaclock,13394,0
1,0,136,2,0,gutenquiz,3157,0
1,0,748,2,0,neverwords,59131,0
1,0,2012,136,0,everyadage,40489,0
1,0,4849,971,0,feelings_js,15872,0
1,0,9480,7,0,MythologyBot,9541,0
1,0,5953,4,0,spacetravelbot,18239,0
1,0,16526,42,0,str_voyage,38023,0
1,0,1150,175,0,unicode_birds,7852,0
1,0,875,13,0,robotrecipes,8086,0
1,0,9476,108,0,infinitedeserts,7817,0
0,0,29013,72,0,CoachLockey,34038,0
0,0,864398,226,0,JustinRose99,6042,1
0,0,46492,43,0,ClubProGuy,2244,0
0,0,930049,18,0,TheSergioGarcia,1786,1
0,0,136806,230,0,TravisGafford,34930,1
0,0,942885,0,0,JmeBBK,163577,1
0,0,6318,880,0,p90princess,9826,0
0,0,479,62,0,PacketPusher,444,0
0,0,54068,75,0,4golfonline,81424,0
